Colorado,Gilpin,2020,357,278,70,136,67,45
Colorado,Gunnison,2020,333,278,53,108,54,44
Colorado,Jackson,2020,65,61,4,84,46,8
Colorado,Jefferson,2020,366,231,108,161,90,46
Colorado,La Plata,2020,366,287,78,101,61,44
Colorado,Larimer,2020,366,222,125,157,87,48
Colorado,Mesa,2020,366,302,61,108,58,44
Colorado,Montezuma,2020,366,301,63,126,58,44
Colorado,Pitkin,2020,116,112,4,68,33,12
Colorado,Prowers,2020,350,327,19,238,42,17
Colorado,Pueblo,2020,96,91,5,63,45,19
Colorado,Rio Blanco,2020,365,311,51,115,54,42
Colorado,Routt,2020,358,353,5,68,29,14
Colorado,San Juan,2020,99,97,2,69,26,8
Colorado,San Miguel,2020,117,114,3,54,26,12
Colorado,Weld,2020,366,219,134,140,82,48
Connecticut,Fairfield,2020,366,256,97,161,80,44
Connecticut,Hartford,2020,366,310,56,98,55,39
Connecticut,Litchfield,2020,362,327,35,84,50,38
Connecticut,Middlesex,2020,208,182,24,129,54,39
Connecticut,New Haven,2020,366,266,87,174,77,42
Connecticut,New London,2020,365,310,51,172,58,37
Connecticut,Tolland,2020,206,192,14,93,48,39
Connecticut,Windham,2020,356,345,11,87,44,35
Country Of Mexico,BAJA CALIFORNIA NORTE,2020,92,1,36,176,156,115
Country Of Mexico,SONORA,2020,146,125,20,101,64,41
Delaware,Kent,2020,362,332,30,80,48,36
Delaware,New Castle,2020,366,300,64,105,58,40
Delaware,Sussex,2020,366,329,37,87,51,38
District Of Columbia,District of Columbia,2020,366,314,51,166,53,40
Florida,Alachua,2020,366,325,40,105,52,36
Florida,Baker,2020,363,331,30,140,49,35
Florida,Bay,2020,363,281,80,146,58,40
Florida,Brevard,2020,366,324,42,84,52,39
Florida,Broward,2020,366,290,74,142,57,40
Florida,Citrus,2020,360,306,53,125,54,32
Florida,Collier,2020,364,316,48,85,54,36
Florida,Columbia,2020,311,255,53,158,56,36
Florida,Duval,2020,366,274,89,125,59,42
Florida,Escambia,2020,360,269,91,80,58,42
Florida,Flagler,2020,366,363,3,64,43,31
Florida,Hamilton,2020,322,287,33,154,52,33
Florida,Highlands,2020,358,345,13,74,44,31
